Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2020-11-19T09:37:15+00:00,31.44,0,1.94,3.94,0,62.64
2020-11-19T09:37:30+00:00,25.2,0,1.7,6.4,0,66.6
2020-11-19T09:37:45+00:00,53.92,0,1.74,3.84,0,40.44
2020-11-19T09:38:00+00:00,92.44,0,1.76,0,0,5.8
2020-11-19T09:38:15+00:00,89.48,0,1.66,0,0,8.86
2020-11-19T09:38:30+00:00,95.3,0,1.6,0,0,3.1
2020-11-19T09:38:45+00:00,95.7,0,1.5666666667,0,0,2.7333333333
2020-11-19T09:39:00+00:00,94.9,0,2.4333333333,0,0,2.6666666667
2020-11-19T09:39:15+00:00,93.3,0,3.3666666667,0,0,3.3333333333
2020-11-19T09:39:30+00:00,96.5,0,1.5,0,0,2
2020-11-19T09:39:45+00:00,96.5,0,1.5,0,0,2
2020-11-19T09:40:00+00:00,96.1,0,1.6666666667,0,0,2.2333333333
2020-11-19T09:40:15+00:00,95.3,0,2,0,0,2.7
2020-11-19T09:40:30+00:00,95.3,0,2,0,0,2.7
2020-11-19T09:40:45+00:00,95.3,0,2,0,0,2.7
2020-11-19T09:41:00+00:00,65.8,0,1.4333333333,0,0,32.766666667
2020-11-19T09:41:15+00:00,5.1466666667,0,0.27333333333,0,0,94.58
