Timestamp,User\g,Nice\g,System\g,Wait\g,Steal\g,Idle\g
2020-11-20T10:13:15+00:00,17.74,0,1.8,0,0.04,80.48
2020-11-20T10:13:30+00:00,38.8,0,4.2,0,0.1,56.9
2020-11-20T10:13:45+00:00,31.56,0,2.88,0.4,0.06,65.1
2020-11-20T10:14:00+00:00,24.9,0,1.3333333333,2.7333333333,0,71.033333333
2020-11-20T10:14:15+00:00,42.566666667,0,1.9666666667,4.1333333333,0,51.3
2020-11-20T10:14:30+00:00,61.1,0,1.5,0,0,37.3
2020-11-20T10:14:45+00:00,59.366666667,0,1.4666666667,0,0,39.1
2020-11-20T10:15:00+00:00,55.9,0,1.4,0,0,42.7
2020-11-20T10:15:15+00:00,38.3,0,1.0333333333,0,0,60.633333333
2020-11-20T10:15:30+00:00,3.1,0,0.3,0,0,96.5
2020-11-20T10:15:45+00:00,2.02,0,0.26,0,0,97.66
2020-11-20T10:16:00+00:00,0.4,0,0.2,0,0,99.4
2020-11-20T10:16:15+00:00,0.4,0,0.2,0,0,99.4
