Timestamp,In ,Out
2020-11-19T13:56:15+00:00,6030824.5,27242.3
2020-11-19T13:56:30+00:00,2875815.7787,16692.992
2020-11-19T13:56:45+00:00,1728539.88,12856.88
2020-11-19T13:57:00+00:00,1728539.88,12856.88
2020-11-19T13:57:15+00:00,4668785.976,22918.904
2020-11-19T13:57:30+00:00,5403847.5,25434.41
2020-11-19T13:57:45+00:00,6104825.8,31659.016667
2020-11-19T13:58:00+00:00,6359727,33922.51
2020-11-19T13:58:15+00:00,6359727,33922.51
2020-11-19T13:58:30+00:00,4403466.1,22482.356
2020-11-19T13:58:45+00:00,3692098.5,18322.3
2020-11-19T13:59:00+00:00,3692098.5,18322.3
2020-11-19T13:59:15+00:00,5605502.1,22873.156
2020-11-19T13:59:30+00:00,6083853,24010.87
2020-11-19T13:59:45+00:00,6777763.0667,31351.734667
2020-11-19T14:00:00+00:00,7030094,34021.14
2020-11-19T14:00:15+00:00,7030094,34021.14
2020-11-19T14:00:30+00:00,5128466.0667,25066.597333
2020-11-19T14:00:45+00:00,4436965,21810.4
2020-11-19T14:01:00+00:00,4436965,21810.4
2020-11-19T14:01:15+00:00,4651541.8,17943.984
2020-11-19T14:01:30+00:00,4705186,16977.38
2020-11-19T14:01:45+00:00,4705186,16977.38
2020-11-19T14:02:00+00:00,7357845.9667,40438.133333
2020-11-19T14:02:15+00:00,7765947.5,44047.48
2020-11-19T14:02:30+00:00,5099647.0667,26267.241333
2020-11-19T14:02:45+00:00,4689447,23531.82
2020-11-19T14:03:00+00:00,4689447,23531.82
2020-11-19T14:03:15+00:00,3882147,20335.033333
2020-11-19T14:03:30+00:00,3757947,19843.22
2020-11-19T14:03:45+00:00,3757947,19843.22
2020-11-19T14:04:00+00:00,7472254.1333,51472.150667
2020-11-19T14:04:15+00:00,8043686,56338.14
2020-11-19T14:04:30+00:00,5563548.4,27285.868
2020-11-19T14:04:45+00:00,4943514,20022.8
2020-11-19T14:05:00+00:00,4943514,20022.8
2020-11-19T14:05:15+00:00,4088368.8,17414.246
2020-11-19T14:05:30+00:00,3956808,17012.93
2020-11-19T14:05:45+00:00,3956808,17012.93
2020-11-19T14:06:00+00:00,6850188.9667,56215.496
2020-11-19T14:06:15+00:00,7295324.5,62246.66
2020-11-19T14:06:30+00:00,1806364.5647,16206.432
2020-11-19T14:06:45+00:00,961909.19,9123.32
2020-11-19T14:07:00+00:00,961909.19,9123.32
2020-11-19T14:07:15+00:00,128814.16533,3258.942
