Timestamp,1-min,CPUs ,Procs
2020-11-20T10:51:15+00:00,1.42,2,0
2020-11-20T10:51:30+00:00,1.42,2,0
2020-11-20T10:51:45+00:00,1.9266666667,2,0
2020-11-20T10:52:00+00:00,2.37,2,2.1333333333
2020-11-20T10:52:15+00:00,2.37,2,4
2020-11-20T10:52:30+00:00,2.37,2,4
2020-11-20T10:52:45+00:00,2.37,2,4
2020-11-20T10:53:00+00:00,2.37,2,4
2020-11-20T10:53:15+00:00,3.394,2,4
2020-11-20T10:53:30+00:00,4.29,2,4.4666666667
2020-11-20T10:53:45+00:00,4.29,2,5
2020-11-20T10:54:00+00:00,4.29,2,5
2020-11-20T10:54:15+00:00,4.29,2,5
2020-11-20T10:54:30+00:00,4.1886666667,2,5
2020-11-20T10:54:45+00:00,3.4813333333,2,2.3333333333
2020-11-20T10:55:00+00:00,2.94,2,0
2020-11-20T10:55:15+00:00,2.94,2,0
