Timestamp,1-min,CPUs ,Procs
2020-11-20T05:24:15+00:00,0.21,2,0
2020-11-20T05:24:30+00:00,0.21,2,0
2020-11-20T05:24:45+00:00,0.21,2,2.6666666667
2020-11-20T05:25:00+00:00,1.458,2,5
2020-11-20T05:25:15+00:00,2.55,2,5
2020-11-20T05:25:30+00:00,3.288,2,5
2020-11-20T05:25:45+00:00,4.608,2,5
2020-11-20T05:26:00+00:00,5.16,2,5
2020-11-20T05:26:15+00:00,5.16,2,5
2020-11-20T05:26:30+00:00,5.16,2,5
2020-11-20T05:26:45+00:00,5.16,2,5
2020-11-20T05:27:00+00:00,5.16,2,5
2020-11-20T05:27:15+00:00,6.0666666667,2,4.4666666667
2020-11-20T05:27:30+00:00,6.86,2,4
2020-11-20T05:27:45+00:00,6.86,2,4
2020-11-20T05:28:00+00:00,6.86,2,4
2020-11-20T05:28:15+00:00,6.86,2,4
2020-11-20T05:28:30+00:00,6.86,2,4
2020-11-20T05:28:45+00:00,6.5,2,5.8
2020-11-20T05:29:00+00:00,6.26,2,7
2020-11-20T05:29:15+00:00,6.26,2,7
2020-11-20T05:29:30+00:00,6.26,2,7
2020-11-20T05:29:45+00:00,6.26,2,7
2020-11-20T05:30:00+00:00,6.26,2,5.8
2020-11-20T05:30:15+00:00,6.074,2,5
2020-11-20T05:30:30+00:00,5.95,2,5
2020-11-20T05:30:45+00:00,5.342,2,5
2020-11-20T05:31:00+00:00,4.81,2,5
2020-11-20T05:31:15+00:00,4.81,2,5
2020-11-20T05:31:30+00:00,4.81,2,5
2020-11-20T05:31:45+00:00,4.81,2,5
2020-11-20T05:32:00+00:00,4.81,2,5
2020-11-20T05:32:15+00:00,5.512,2,5
2020-11-20T05:32:30+00:00,5.98,2,5
2020-11-20T05:32:45+00:00,5.98,2,6.3333333333
2020-11-20T05:33:00+00:00,5.98,2,7
2020-11-20T05:33:15+00:00,5.98,2,7
