Timestamp,1-min,CPUs ,Procs
2020-11-20T08:51:15+00:00,6.68,2,10
2020-11-20T08:51:30+00:00,6.68,2,2
2020-11-20T08:51:45+00:00,6.68,2,2
2020-11-20T08:52:00+00:00,6.68,2,2
2020-11-20T08:52:15+00:00,6.68,2,2
2020-11-20T08:52:30+00:00,6.68,2,2
2020-11-20T08:52:45+00:00,7.32,2,10
2020-11-20T08:53:00+00:00,7.32,2,10
2020-11-20T08:53:15+00:00,7.32,2,10
2020-11-20T08:53:30+00:00,7.32,2,10
2020-11-20T08:53:45+00:00,7.32,2,10
2020-11-20T08:54:00+00:00,7.32,2,10
2020-11-20T08:54:15+00:00,5.99,2,6
2020-11-20T08:54:30+00:00,5.99,2,6
2020-11-20T08:54:45+00:00,5.99,2,6
2020-11-20T08:55:00+00:00,5.99,2,6
2020-11-20T08:55:15+00:00,5.99,2,6.1333333333
2020-11-20T08:55:30+00:00,6.074,2,7
2020-11-20T08:55:45+00:00,6.41,2,7
2020-11-20T08:56:00+00:00,6.41,2,7
2020-11-20T08:56:15+00:00,6.41,2,7
2020-11-20T08:56:30+00:00,6.41,2,6.6
2020-11-20T08:56:45+00:00,6.41,2,5
2020-11-20T08:57:00+00:00,6.0953333333,2,5
2020-11-20T08:57:15+00:00,5.23,2,5
2020-11-20T08:57:30+00:00,5.23,2,5
2020-11-20T08:57:45+00:00,5.23,2,5
2020-11-20T08:58:00+00:00,5.23,2,4.7333333333
2020-11-20T08:58:15+00:00,5.23,2,4
2020-11-20T08:58:30+00:00,5.09,2,4
2020-11-20T08:58:45+00:00,4.53,2,4
2020-11-20T08:59:00+00:00,4.53,2,4
2020-11-20T08:59:15+00:00,4.53,2,5
2020-11-20T08:59:30+00:00,4.53,2,9
2020-11-20T08:59:45+00:00,4.53,2,9
2020-11-20T09:00:00+00:00,4.534,2,9
2020-11-20T09:00:15+00:00,4.59,2,9
2020-11-20T09:00:30+00:00,4.59,2,8.8666666667
2020-11-20T09:00:45+00:00,4.59,2,8
2020-11-20T09:01:00+00:00,4.59,2,8
2020-11-20T09:01:15+00:00,4.59,2,8
2020-11-20T09:01:30+00:00,4.5526666667,2,8
2020-11-20T09:01:45+00:00,4.31,2,8
2020-11-20T09:02:00+00:00,4.31,2,7.3333333333
2020-11-20T09:02:15+00:00,4.31,2,3
